map,prompt,survey_point_id,transcription,note,category,sourced_elsewhere
/*<L 1>*/
/*<M 1 I sold>*/
/*<F dhíolas; dhíol mé; reic mé; rinn mé creic>*/
1,"I sold",1,ˈ+j+ɪː+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",2,j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",3,ˈ+j+iː+ᵊ+l m′+è,,dhíol mé,0
1,"I sold",4,ˈ+j+iː+l m′+ə,,dhíol mé,0
1,"I sold",5,ˈ+j+iː+ᵊ+l m′+e,,dhíol mé,0
1,"I sold",7,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",8,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",9,d+ə ˈ+j+ɪː+ᵊ+l+ə+s,,dhíolas,0
1,"I sold",10,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",11,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",12,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",13,d+ə ˈ+j+i+ᵊ+l+ə+s,,dhíolas,0
1,"I sold",14,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",15,d+ə ˈ+ɣ′+i+ə+l+ə+s,,dhíolas,0
1,"I sold",16,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",17,j+iː+ᵊ+l+ə+s,,dhíolas,0
1,"I sold",18,j+ɪ+ə+l+ə+s,,dhíolas,0
1,"I sold",19,d+ə ˈ+j+i+ə+l+ə+s,,dhíolas,0
1,"I sold",20,d+ə ˈ+j+iː+l+ə+s,,dhíolas,0
1,"I sold",21,d+ə ˈ+j+iː+ᵊ+l+ə+s,,dhíolas,0
1,"I sold",22,ˈ+j+i+ə+l m′+ə,,dhíol mé,0
1,"I sold",23,ˈ+j+iː+l m′+ə,,dhíol mé,0
1,"I sold",24,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",25,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",27,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",28,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",29,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",30,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",31,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",32,ˈ+j+i+ə+l m′+eː,pausa form of ‘mé’,dhíol mé,0
1,"I sold",33,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",34,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",35,ˈ+j+ɪ+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",36,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",37,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",38,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",39,ˈ+j+i+ə+l m′+è,,dhíol mé,0
1,"I sold",40,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",41,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",42,ˈ+j+ɪ+ə+l m′+eː,pausa form of ‘mé’,dhíol mé,0
1,"I sold",43,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",44,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",45,ˈ+j+i+ə+l m′+eː,pausa form of ‘mé’,dhíol mé,0
1,"I sold",46,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",47,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",48,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",49,ˈ+j+i+ə+l m′+è,,dhíol mé,0
1,"I sold",50,ˈ+j+i+ə+l m′+è,,dhíol mé,0
1,"I sold",51,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",52,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",53,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",54,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",55a,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",56,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",57,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",58,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",59,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",60,ˈ+j+i+ə+l m′+ə,,dhíol mé,0
1,"I sold",61,ˈ+j+i+ə+l m′+ə,,dhíol mé,0
1,"I sold",62,ˈ+d′+i+ə+l m′+eː,pausa form of ‘mé’; unlenited ‘d-’ is corrupt,dhíol mé,0
1,"I sold",65,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",66,ˈ+j+i+ə+l m′+a,,dhíol mé,0
1,"I sold",67,ˈ+r+e+ʼ+k′ m′+e,,reic mé,0
1,"I sold",68,ˈ+j+i+ᵊ+l′ m′+ə,,dhíol mé,0
1,"I sold",69,ˈ+j+iː+l m′+ɛ,,dhíol mé,0
1,"I sold",70,ˈ+j+ɪː+l′ m′+e,,dhíol mé,0
1,"I sold",71,ˈ+j+iː+l m′+e,,dhíol mé,0
1,"I sold",72,ˈ+j+ɪː+l m′+ɛ,,dhíol mé,0
1,"I sold",73,ˈ+j+ɪː+ᵊ+l m′+ɛ,,dhíol mé,0
1,"I sold",74,ˈ+j+iː+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",75,ˈ+j+ɪː+l′ m′+ɛ,,dhíol mé,0
1,"I sold",76,j+iː+l m′+ɛ,,dhíol mé,0
1,"I sold",77,ˈ+j+ɪː+l m′+a,,dhíol mé,0
1,"I sold",78,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",79,ˈ+j+ɪː+ᵊ+l m′+ɛ,,dhíol mé,0
1,"I sold",80,ˈ+j+i+ə+l m′+e,,dhíol mé,0
1,"I sold",81,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",82,ˈ+j+i+ə+l m′+ə,,dhíol mé,0
1,"I sold",83,ˈ+j+i+ə+l m′+ɛ,,dhíol mé,0
1,"I sold",84,ˈ+j+iː+l′ m′+e,,dhíol mé,0
