survey_point_id,transcription,informant_label,note,category
1,l´öpərəxɑːn,,,laprachán
2,knɑũˈdɑːn,,,cnádán
4,frogənə,,,frog
7,nɑ̢gədɑːn,,NL: gen. pl.?,cnádán
8,frɔ̢gənə,b,pl.,frog
10,frɔg,,(A. Ir.),frog
11,frogənə,,pl.,frog
12,frog,b,,frog
12,frogənə,b,pl.,frog
13,frog,a,,frog
13,frɪg´,a,pl.,frog
14,frog,,,frog
14,frogənə,,pl.,frog
15,frig´,,pl.,frog
17,nə frogənə,,pl.,frog
18,fro̢sg,,,frosg
18,frɪʃg´,,pl.,frosg
20,frɪg´,,pl.,frog
21,frig´,,pl.,frog
22,frog,,,frog
22,frig´,,pl.,frog
23,frog,,,frog
23,frig´,,pl.,frog
24,frɪg´,,pl.,frog
25,lɑpədɑːn ˈlɑhiː,,,lapadán
28,frɔ̢gən,,pl.,frog
31,frɔ̢g,,,frog
33,lïp´rəxɑːn,,,laprachán
34,frɑg,,,frog
35,tortɑːn,,"NL: Only the primary informant was named. This return was from another speaker either from Corrofin or Ballynastuckaun.",tortán
36,b´raləx nə lɑhiː,2,,breallach lathaí
36,frɑgəniː,1,pl.,frog
37,lɑpədɑːn,,,lapadán
37,frɑ̣g,,,frog
37,brɑLəx ˈlɑhi,,,breallach lathaí
37,frus,,,frús
38,nə frɑgəni,,pl.,frog
40,ˈlɑbər ˈlɑhiː,,,lúbar lathaí
40,frɑ̣g,,,frog
41,frɑg,,,frog
41,frɑgəni,,pl.,frog
43a,frɑ̣g,,,frog
43a,frɑ̣gəNiː,,pl.,frog
46,Lu̢.bər ˈLɑhiː,,,lúbar lathaí
46,frɔg,,,frog
49,frɑgəni,,pl.,frog
51,frɔ̢gəni,,pl.,frog
52,lɑpədo.r̠,,NL: Frogspawn given as <i>síol froganaí</i>,lapadóir
53,kru:bɑːn kləiʔ,,,crúbán claidhe
54,luəsḳɑːn lɑhɪː,,,luascan lathaí
54,luəsḳɑːn Lɑhɪː,,,luascan lathaí
57,frɑg,,,frog
57,frɑgəni,,pl.,frog
58,frɑgəNi,,pl.,frog
59,Lɪːsḳɑːn´,,,losgann
61,frɔgəNɪ,a,pl.,frog
66,frɪG',6,,frog
69,frɔg,,,frog
74,frɔgəNi,,pl.,frog
74a,fru̢g,,,frog
74a,fru̢gəNi,,pl.,frog
78,Nə frogəNi,,pl.,frog
83,frɔgəNɪ,A,pl.,frog
86a,kroːnən,,,crónán
a,Lo̢sg′ən,,,losgann
c,Lusḳən,1,,losgann
e,L′eːmʰRəxɑ̣nʰ,,,leumachan
f,muLə moːhɑḳ,d,,mial-mhàgain
f,mo̤Lə võ̢ːhɑḳən,d,,mial-mhàgain
g,L'eːmbrɔxɑ̣nh,a,,leumachan
